Species,Scale,Region
Northern Shrike,State,MA
Northern Shrike,State,NH
Northern Shrike,State,ME
Northern Shrike,State,RI
Snowy Owl,State,MA
Snowy Owl,State,NH
Snowy Owl,State,ME
Snowy Owl,State,RI
Bohemian Waxwing,State,MA
Bohemian Waxwing,State,NH
Bohemian Waxwing,State,ME
Bohemian Waxwing,State,RI
Common Redpoll,State,MA
Common Redpoll,State,NH
Common Redpoll,State,ME
Common Redpoll,State,RI
Northern Saw-whet Owl,State,MA
Red-necked Grebe,State,MA
Red Crossbill,State,MA
Red Crossbill,State,NH
Red Crossbill,State,ME
Red Crossbill,State,RI
White-winged Crossbill,State,MA
White-winged Crossbill,State,NH
White-winged Crossbill,State,ME
White-winged Crossbill,State,RI
Little Gull,State,MA
Little Gull,State,NH
Little Gull,State,ME
Little Gull,State,RI
Iceland Gull,State,MA
Iceland Gull,State,NH
Iceland Gull,State,ME
Iceland Gull,State,RI
Glaucous Gull,State,MA
Glaucous Gull,State,NH
Glaucous Gull,State,ME
Glaucous Gull,State,RI
Common Murre,State,MA
Common Murre,State,NH
Common Murre,State,ME
Common Murre,State,RI
Thick-billed Murre,State,MA
Thick-billed Murre,State,NH
Thick-billed Murre,State,ME
Thick-billed Murre,State,RI
Barrow's Goldeneye,State,MA
